ACTIVITATS MOLESTES EN ESPAIS PÚBLICS
ACCIDENTS DE TRÀNSIT SENSE FERITS
INCIDÈNCIES AMB AFECTACIÓ DE VIA
CONVIVÈNCIA VEINAL
AGRESSIONS
INCIDÈNCIES AMB PERILL PEL TRÀNSIT
ASSISTÈNCIA A PERSONES EN ESPAIS PÚBLICS
VIGILÀNCIA POLICIAL
"ASSISTÈNCIA A CONDUCTORS EN V, P,"
AVARIES DE SERVEIS MUNICIPALS
VIOLÈNCIA DOMÈSTICA
INCIDÈNCIES DE LOCALS
RESTRICCIONS TEMPORALS DE TRÀNSIT
INFRACCIONS EN MOVIMENT
SUPORTS
INFRACCIONS EN GUALS I RESERVES
COL·LABORACIÓ AMB ALTRES SERVEIS
"ALTRES ACTUACIONS DE S, C,"
BARALLES
ESPECTACLES EN ESPAIS PÚBLICS
ÀMBIT DE PROTECCIÓ DEL MENOR
ACCIDENTS DE TRÀNSIT AMB FERITS
ACTES CONTRA LA PROPIETAT PÚBLICA
TRASLLATS DE VEHICLES SENSE INFRACCIÓ
"ALTRES INTERVENCIONS DE P, ADMINISTRATIVA"
MANIFESTACIONS / CONCENTRACIONS
CONFLICTES EN LOCALS
ASSISTÈNCIA A PERSONES EN EDIFICI
ACTES CONTRA LA PROPIETAT PRIVADA
CONDUCCIONS I ACOMPANYAMENTS
AVARIES DE SERVEIS PÚBLICS
FOGUERES / BARBACOES
COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL
VENDA AMBULANT
SENYALS AUTOMATITZADES
ASSISTÈNCIA A MALALTS MENTALS
INCENDIS
ESTUPEFAENTS / PSICOTROPICS
INFRACCIONS PER ESTACIONAMENTS
ANIMALS / INSECTES PERILLOSOS
VANDALISME
CONTROLS DE TRÀNSIT
ALTRES INCIDÈNCIES AMB ANIMALS
OCUPACIONS D'ESPAIS PÚBLICS
ALARMES D'INCENDI / ROBATORI
INFRACCIONS EN MOVIMENT (VEHICLES)
ATEMPTATS
ABOCAMENT DE RESIDUS
OBRES / TREBALLS EN ESPAIS PÚBLICS
ACTIVITAT AMB PRESOS
ANIMALS DE COMPANYIA
CONTRA LA LLIBERTAT SEXUAL
NEU I GEL
DELICTES CONTRA L'ORDRE PÚBLIC
ALTRES ACTUACIONS EN MEDI AMBIENT
SINISTRES EN EDIFICIS
INSPECCIONS / CONTROLS EN LOCALS
INFRACCIONS EN LOCALS
SENYALS NO AUTOMATITZADES
TRANSPORT PÚBLIC
MOLESTIES PER GENERADORS
EDIFICIS OFICIALS
VENTS FORTS
PLUJA TORRENCIAL
SENSE IDENTIFICAR
ÀMBIT EDUCATIU
IMMOBILITZACIONS /DESIMMOBILITZACIONS
SUBMINISTRAMENTS BÀSICS
COMUNICATS D'EMERGÈNCIA
MATÈRIES PERILLOSES
OCUPACIONS IL·LÍCITES
CUSTÒDIES
REFORMA
INFRACCIONS D'ESTRANGERS
AVARIA TÈCNICA
EXPLOSIONS
ASSISTÈNCIA EN LES PLATGES
INCIDÈNCIES D'ALIMENTS
DELICTES ALIMENTARIS
TRIBUS URBANES
INCIDÈNCIES AMB PRESOS I DETINGUTS
ACCIDENTS DE TRANSIT AMB MATERIES PERILLOSSES
CONTRA ELS DRETS DELS TREBALLADORS
PROVES DEL SISTEMA
ASSISTÈNCIA TÈCNICA
CAÇA / PESCA / FLORA / FAUNA
FOC EXTERIOR
ACTES CONTRA LA PROPIETAT
SALVAMENTS
Desconegut
ACCIDENT REBUT PEL 080 (Recodificar)
SISMES
ACCIDENT PROCEDENT PASSAREL·LA CME
FUITES - PRODUCTES QUÍMICS
ACCIDENT PROCEDENT PASSAREL·LA SEM
ACCIDENTS (GUB-CME) (CME-GUB)
TRASLLAT D'ORGANS
